Month,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
January,359,332,316,327,336,335,337,368,355,409,371,443,435,419,503
February,370,350,318,331,368,347,334,361,335,381,410,427,406,426,472
March,335,326,302,318,327,322,339,347,338,339,360,389,397,399,462
April,316,283,274,279,288,288,290,302,299,307,331,357,346,335,374
May,317,321,282,287,286,286,291,295,295,312,344,334,321,319,415
June,386,347,339,349,375,349,340,318,344,441,378,449,389,541,544
July,412,389,400,414,427,408,359,397,380,456,452,504,456,529,581
August,411,403,399,388,429,403,374,426,371,488,465,485,482,565,575
September,424,390,361,395,354,375,383,384,372,415,460,432,448,476,531
October,327,332,326,312,359,349,353,354,359,344,366,390,437,420,411
November,323,298,297,308,314,325,313,317,326,341,348,370,346,399,411
December,314,315,323,333,334,329,350,338,345,395,366,392,376,433,404