"Category","Annual Mean","5-yr smooth"
1901,18.25,18.4
1902,18.37,18.24
1903,17.96,18.1
1904,18.25,17.97
1905,17.98,17.89
1906,17.79,17.85
1907,17.77,17.86
1908,17.94,17.92
1909,17.92,18.01
1910,17.79,18.11
1911,18.45,18.19
1912,18.22,18.25
1913,18.5,18.27
1914,18.04,18.28
1915,18.25,18.27
1916,18.73,18.27
1917,18.28,18.28
1918,17.95,18.31
1919,18.1,18.36
1920,18.72,18.41
1921,18.25,18.47
1922,18.75,18.52
1923,18.34,18.57
1924,18.8,18.6
1925,18.4,18.62
1926,18.81,18.63
1927,19.1,18.64
1928,18.68,18.64
1929,17.92,18.64
1930,18.58,18.63
1931,18.82,18.61
1932,18.62,18.59
1933,18.33,18.55
1934,18.69,18.5
1935,18.51,18.46
1936,18.39,18.42
1937,18.85,18.4
1938,18.24,18.4
1939,18.46,18.42
1940,17.96,18.47
1941,18.24,18.53
1942,18.87,18.6
1943,19.27,18.68
1944,18.42,18.77
1945,18.74,18.84
1946,18.95,18.89
1947,19.34,18.92
1948,18.53,18.9
1949,18.52,18.84
1950,18.84,18.73
1951,18.56,18.61
1952,19.12,18.49
1953,18.23,18.39
1954,17.92,18.35
1955,19,18.36
1956,17.91,18.4
1957,18.24,18.46
1958,18.7,18.52
1959,18.39,18.56
1960,18.89,18.55
1961,18.64,18.53
1962,18.48,18.49
1963,18.36,18.44
1964,18.32,18.41
1965,18.22,18.4
1966,18.49,18.4
1967,18.47,18.41
1968,18.57,18.41
1969,18.3,18.41
1970,18.53,18.38
1971,18.09,18.34
1972,18.2,18.29
1973,18.47,18.25
1974,18.18,18.21
1975,18.23,18.19
1976,17.81,18.2
1977,18.77,18.24
1978,18.09,18.3
1979,18.64,18.38
1980,18,18.48
1981,18.65,18.59
1982,19.28,18.71
1983,18.71,18.83
1984,18.42,18.93
1985,19.06,19.01
1986,18.94,19.06
1987,19.17,19.07
1988,19.53,19.07
1989,19.02,19.05
1990,19.32,19.04
1991,18.5,19.02
1992,18.71,19.03
1993,18.91,19.04
1994,19.85,19.08
1995,19.05,19.14
1996,18.94,19.23
1997,19.42,19.35
1998,19.24,19.47
1999,19.93,19.57
2000,19.5,19.66
2001,19.92,19.7
2002,19.57,19.68
2003,19.77,19.63
2004,19.33,19.56
2005,19.13,19.5
2006,19.66,19.47
2007,19.69,19.49
2008,19.71,19.55
2009,19.62,19.64
2010,19.85,19.73
2011,19.44,19.82
2012,19.89,19.88
2013,19.79,19.91
2014,20.12,19.93
2015,20.01,19.93
2016,20.19,19.94
2017,19.74,19.95
2018,20.02,19.98
2019,19.87,20.03
2020,19.99,20.08
2021,20.22,20.14
2022,20.26,20.2